control flow	制御フロー
programming language	プログラミング言語
feature	特徴、特色、機能
dynamic	動的な、機能的な
differ	違う、異なる
extent	広さ、広がり、範囲
attached	付属の、取り付けてある
declarative	宣言的
static	静的な
lexical	語彙の、単語の、辞書的な
document	文書
statement	文
syntax	文法
phrase	慣用句、決まり文句、言い回し
industry standard	業界標準
meaning	意味
indicate	示す、表す
surround	囲う、囲っている
current	今の
textual	原文の、文字通りの
location	位置、場所
abstractly	抽象的に
declaration	宣言
associate	関連付ける、連携する
consider	よく考える、検討する、～とみなす
term	語句
earn	得る、獲得する
in the sense that	という訳で
actually	実際に、本当は
define	定義する
lexicon	辞書、語彙集
chunk	データの塊
insofar as	～する限りにおいて
variable	変数
definition	定義
create	創造する
domain specific language	ドメイン固有言語	略称DSL
local	局所的な
this is where	～する所
lexical scoping	レキシカルスコープ
dynamic scoping	ダイナミックスコープ
standard fashion	標準的な方法
frame	形作る、骨組み
every time	（～する）たびごとに
nested	入れ子になった
call frame	コールフレーム
destroy	破棄する
interesting	興味深い
quite	まったく、すっかり
differently	違うように、違って
important	重要な、大切な
distinguish	識別する、見分ける
carefully	注意深く
further	もっと程度の進んだ、それ以上の
compound	度を増す、より一層ひどくする
difficulty	難しさ
somewhere	どこか
isolation	隔離、分離
or the other	どれか一方
construct	構成物
particular	事項、点、特定の
interplay	相互作用
many	多数の、たくさんの、数々の
for instance	例えば
unlike	同じでない、違った、似てない
normal	通常の、標準の、正規の
search	探す
along the way	～の途中で
each	各々の、それぞれの
expect	予期する、期待する
most of	大部分
imply	含む、伴う、暗示する
nature	性質、本質
combine	結合する、結びつける
most of the time	殆どの場合、大抵の場合
peel	皮をむく
eventually	結局は
internal	内部の
subroutine	サブルーチン
layer	層
any number of	～がいくらでも
but to do that	それを行うためには
supply	与える、供給する
declare	宣言する
operation	操作、演算
seem	～であるように見える
prevailing	広く行われる、流行の、一般的な
industry	産業、工業、業界
coine	作り出す
refer	参照する、言及する
strange	奇妙な、変な
perform	する、行う、動作する
in mind	考慮して、心掛けて
operator	演算子
include	含む
fall back	逆戻りする
purely	純粋に、まったく
interpretation	解釈、判断
lexotic	レギゾチック	レキシカルなターゲットを考慮して動的な操作を行う
work	正常に機能する
prefer to	～する方を好む
appropriate	割り当てる
context	文脈
upward	上へ向かって
even though	～であるが
visible	可視の
implement	実行する、実装する
exception	例外
contain	含む
identity	独自性、識別
discover	発見する、気づく
match	一致する
relationship	結びつき、関係
every	全ての
closure	クロージャ
abstract	抽象的な
anonymous	無名の、匿名の
environment	環境
invoke	実施する、起動する、呼び出す
result	結果
matter	物事、問題
same	同一の
inside	内部
snapshot	スナップショット	ある時点での内容
delimit	区切る、境界を定める
curlies	カーリーブラケット
compile	コンパイルする
compilation	コンパイル
